ID,name,Descrição,description_pt,description_es,description_en,website,city,placesOfOriginNames,incidencyReach,parentHub,technologyType,purpose,incidencyType,themes,secondaryThemes,mecanismos,isOpenLicense,notes,"(sinais) Existem cadastramentos que derivam da iniciativa que acabou de classificar? Se sim, marque:",Quais? usar ;,Quais?,Quais?,Coletiva (HUB),Conexão e Diálogo ,Sensibilização,Formação,Produção de Conhecimento,Levantamento e Visualização de Informação,Fomento,Fiscalização e Monitoramento,Disseminação,Mobilização e Pressão,Contribuição e Colaboração
238,Marco Civil da Internet,"O Marco Civil da Internet, Lei 12.965 de 23 de abril de 14, que estabelece princípios, garantias, direitos e deveres dos usuários da Internet no Brasil, é uma lei construída de forma colaborativa entre Governo e sociedade utilizando a internet como plataforma de debate.","O Marco Civil da Internet, Lei 12.965 de 23 de abril de 14, que estabelece princípios, garantias, direitos e deveres dos usuários da Internet no Brasil, é uma lei construída de forma colaborativa entre Governo e sociedade utilizando a internet como plataforma de debate.","El Marco Civil da Internet (Marco Civil de Internet), Ley 12.965 de 23 de abril de 2014, que establece principios, garantías, derechos y deberes de los usuarios de Internet en Brasil, es una ley construida de forma colaborativa entre el Gobierno y la sociedad utilizando la Internet como plataforma de debate.","Marco Civil da Internet (Internet Civil Landmark), Law 12,965 of 23 April 2014, which determines principles, assurances, rights and duties of Internet users in Brazil, is a law built collaboratively between Governament and Society using the Internet as a debate platform.",https://pt.wikipedia.org/wiki/Marco_Civil_da_Internet,,Brasil,Nacional,Ministério da Justiça,Social,Incidência,"Legislativo, Judiciário, Executivo",Governo 2.0,Participação Cidadã,"Debate político, Consulta popular",,,,,,,,,,,,,,,,"Advocacy, Campanha de Mobilização",Legislação Participativa
239,Marquise Minhocão,"Em parceria com a Triptyque e o Movimento 90º, foi idealizado o projeto Marquise Minhocão, que quer ocupar a parte de baixo do elevado, aproveitando a implantação da ciclovia para transformar o espaço em um ambiente mais vivo, humano e menos cinza!","Em parceria com a Triptyque e o Movimento 90º, foi idealizado o projeto Marquise Minhocão, que quer ocupar a parte de baixo do elevado, aproveitando a implantação da ciclovia para transformar o espaço em um ambiente mais vivo, humano e menos cinza!","En colaboración con Triptyque y el Movimiento 90º, fue idealizado el proyecto Marquise Minhocão (Marquesina Minhocão), que quiere ocupar la parte inferior de esa avenida elevada, aprovechando la implantación de una ciclovía ¡para transformar el espacio en un ambiente más vivo, humano y menos gris!","In partnership with Tryptique and Movimento 90° (90° Movement), the project Marquise Minhocão to occupy the area under the viaduct, transforming space - where a new bike lane was built - in a more humane, alive and less grey environment!",http://acupunturaurbana.com.br/experiencias/#mapeamentosafetivos,São Paulo,Brasil,Local,Acupultura Urbana; Triptyque; Movimento 90º,Social,Empoderamento,,Participação Cidadã,,", Ação cívica, Ocupação, Intervenção, Choque estético, Atividades culturais, Co-Criação",,,Sinais,,,,,"Eventos (Seminário, Fórum, Colóquio, Conferência, Debate, Roda de Conversa e encontros )","Intervenção Artística, Atividades Culturais",,,,,,,,Co-criação
240,Más de 131,Másde131 es un medio de comunicación independiente que nace como respuesta a las exigencias de información más incluyente y plural. Ejercemos un periodismo humano más cercano y comprometido con las personas y sus entornos. Nuestros contenidos son textos periodísticos éticos apoyados en materiales audiovisuales y galerías fotográficas que buscan una alternativa a la forma de informar y contar las historias.,"Másde131 é uma mídia independente que vem em resposta à necessidade de informação mais inclusiva e plural. Exercemos um jornalismo humano mais próximo, comprometido com as pessoas e seus ambientes. Nossos conteúdos são textos jornalísticos éticos, apoiados por materiais audiovisuais e galerias de fotos  em busca de uma forma alternativa de informar e narrar as histórias.
",Másde131 es un medio de comunicación independiente que nace como respuesta a las exigencias de información más incluyente y plural. Ejercemos un periodismo humano más cercano y comprometido con las personas y sus entornos. Nuestros contenidos son textos periodísticos éticos apoyados en materiales audiovisuales y galerías fotográficas que buscan una alternativa a la forma de informar y contar las historias.,"Másde131 (More than 131) is an independent media that appeared to respond to the need of more inclusive and plural information. We engage in a humane closer journalism, commited with people and their environments. Our contents are texts with ethics, supported by audiovisual material and photo galleries in search of an alternative way to inform and narrate stories.",http://masde131.com/,México DF,México,Nacional,,Digital,Empoderamento,,Comunicação Independente,,", Investigação, Cobertura Colaborativa",TRUE,,Sinais,,,,,,,,Sistematização de conhecimento,,,,Portal de Notícias/Blog,,
241,Me explica?,"As notícias de um jeito que você vai entender. Explicações simples, rápidas e confiáveis. ","As notícias de um jeito que você vai entender. Explicações simples, rápidas e confiáveis. ","Las noticias de una manera que tú entenderás. Explicaciones simples, rápidas y confiables.","News in a way you will understand. Simple, fast, reliable information.",http://meexplica.com/,,Brasil,Nacional,,Digital,Empoderamento,,Comunicação Independente,Cultura Política,", Pedagogia política, Artigos",false,,,,,,,,,Manual,Sistematização de conhecimento,,,,Portal de Notícias/Blog,,
242,Mejora tu Escuela,Es una plataforma de participación ciudadana para transformar la educación en México,É uma plataforma para a participação dos cidadãos para transformar a educação no México.,Es una plataforma de participación ciudadana para transformar la educación en México,A platform for citizen participation to transform education in Mexico.,http://www.mejoratuescuela.org,México DF,México,Nacional,Instituto Mexicano para la Competitividad A.C. (IMCO),Digital,Incidência,,Participação Cidadã,,", Index/Indicadores, Georrefenciamento, Infográfico, votação",false,,,,,,,,,,,Infográfico,,Auditoria,,,
243,Mejoramos Juntos,"@MejoramosJuntos es una plataforma de participación ciudadana que te ayuda a identificar, difundir y solucionar problemas en toda la Argentina. Clickeá en el ""#Tema"" que te preocupa y armá tu reporte que, en segundos, estará listo para que lo difundas por las redes sociales, solucionando juntos ciudadanos, medios, ONG y autoridades la vida de todos.","MejoramosJuntos (Melhoramos Juntos) é uma plataforma para a participação do cidadão que ajuda a identificar, divulgar e resolver problemas em toda a Argentina. Clique no ""#Tema"" que lhe preocupa para construir seu relatório que, em segundos, estará pronto para ser divulgado nas redes sociais, colaborando juntos, cidadãos, mídia, ONGs e autoridades para a vida de todos.","@MejoramosJuntos es una plataforma de participación ciudadana que te ayuda a identificar, difundir y solucionar problemas en toda la Argentina. Clickeá en el ""#Tema"" que te preocupa y armá tu reporte que, en segundos, estará listo para que lo difundas por las redes sociales, solucionando juntos ciudadanos, medios, ONG y autoridades la vida de todos.","MejoramosJuntos (Improve Together) is a platform for citizen participation that helps to identify, divulgate and solve problems in Argentina. Clique in ""#Theme"" that concerns you to have your report within seconds to publish in social medias, working together, citizens, media, NGOs and authorities for everybody's life.",http://mejoramosjuntos.org/,,Argentina,Nacional,,Digital,Incidência,Executivo,Participação Cidadã,Controle Social,", Ativismo digital, Denúncia, Monitoramento, Resident Feedback",,,,,,,,,,,,Georeferenciamento,,Monitoramento Descentralizado,Transmissão,,
244,Meu Congresso Nacional,"O Meu Congresso Nacional é um site sem fins lucrativos, desenvolvido por pesquisadores da área de Ciências da Computação, que decidiram utilizar os seus conhecimentos para aumentar a transparência e levar à população informações importantes sobre as atividades dos políticos e candidatos, baseados na esperança de que mais informação e transparência leve o Brasil a um futuro melhor. O site é totalmente automatizando, coletando as informações de bases de dados governamentais, processando as mesmas e republicando em um formato mais acessível à população. ","O Meu Congresso Nacional é um site sem fins lucrativos, desenvolvido por pesquisadores da área de Ciências da Computação, que decidiram utilizar os seus conhecimentos para aumentar a transparência e levar à população informações importantes sobre as atividades dos políticos e candidatos, baseados na esperança de que mais informação e transparência leve o Brasil a um futuro melhor. O site é totalmente automatizando, coletando as informações de bases de dados governamentais, processando as mesmas e republicando em um formato mais acessível à população. ","El Meu Congresso Nacional (Mi Congreso Nacional) es un sitio sin fines de lucro, desarrollado por investigadores del área de Ciencias de la Computación que decidieron utilizar sus conocimientos para aumentar la transparencia y llevar a la población informaciones importantes sobre las actividades de los políticos y candidatos, basados en la esperanza de que más información y transparencia conducirá a Brasil hacia un futuro mejor. El sitio es totalmente automatizado, colectando las informaciones de bases de datos gubernamentales, procesándolas y republicándolas en un formato más accesible a la población.","Meu Congresso Nacional (My National Congress) is a nonprofit site, developed by Computer Science researchers, who decided to use their knowledge to increase transparency and take important information on politicians and candidates to the poupulation, hoping more information and transparency would lead Brazil to a better future. The site is completely automated, colleting information from govern data bases, proccessing them and republishing in a more accessible format.",http://meucongressonacional.com/,Recife,Brasil,Nacional,Universidade Federal de Pernambuco,Digital,Empoderamento,,Transparência e Accountability,,", Ativismo digital, Banco de dados, Infográfico, Monitoramento",,,Sinais,,,,,,,,,Infográfico,,Indicadores,,,
245,Meu Município,É um portal público e gratuito que disponibiliza os principais dados referentes ao desempenho das finanças dos municípios brasileiros de forma simples. Esse projeto tem como objetivo melhorar a apresentação e organização dos dados para auxiliar os gestores públicos em suas análises e tomadas de decisões.,É um portal público e gratuito que disponibiliza os principais dados referentes ao desempenho das finanças dos municípios brasileiros de forma simples. Esse projeto tem como objetivo melhorar a apresentação e organização dos dados para auxiliar os gestores públicos em suas análises e tomadas de decisões.,Es un portal público y gratuito que pone a disposición los principales datos referentes al rendimiento de las finanzas de los municipios brasileños de forma simple. Este proyecto tiene como objetivo mejorar la presentación y organización de los datos para auxiliar a los gestores públicos en sus análisis y sus tomas de decisiones.,It is a free and public site that makes available in friendly way data about financial performance of Brazilian municipalities. This project aims to improve the presentation and organization of data to auxiliate public managers in their analysis and decision making.,http://www.meumunicipio.org.br,,Brasil,Local,,Digital,Empoderamento,,Transparência e Accountability,,", Index/Indicadores, Estudos, Análise de dados, Relatório, Banco de dados, Repositório, Infográfico, Monitoramento",false,,,,,,,,,,Análise de Dados,Infográfico,,Indicadores,,,
246,Méxicoleaks,"Una plataforma independiente de denuncia ciudadana y transparencia,al servicio de la sociedad mexicana para revelar información de interés público","Uma plataforma independente de denúncias apresentadas por cidadãos e de transparência, a serviço da sociedade mexicana para revelar informações de interesse público.","Una plataforma independiente de denuncia ciudadana y transparencia,al servicio de la sociedad mexicana para revelar información de interés público","An independent citizens denouncement and transparency platform, at Mexican society's service to reveal public interest information.",https://mexicoleaks.mx/,,México,Nacional,Free Press Unlimited; AWP; Global Leaks,Digital,Incidência,"Legislativo, Judiciário, Executivo",Comunicação Independente,Transparência e Accountability,", Ativismo digital, Artigos, Repositório, Denúncia, Investigação, Monitoramento, Infoativismo",TRUE,Foda!,Hubs,,,,,,,,Sistematização de conhecimento,,,Monitoramento Descentralizado,Portal de Notícias/Blog,,
247,Mi Medellín,MiMedellín es una plataforma de Co-creación Ciudadana en donde las ideas y la inspiración de todos forman parte de la transformación de nuestra Ciudad.,"
MiMedellin (Minha Medellin) é uma plataforma de co-criação cidadã, onde as ideias e a inspiração de todos fazem parte da transformação da nossa cidade.",MiMedellín es una plataforma de Co-creación Ciudadana en donde las ideas y la inspiración de todos forman parte de la transformación de nuestra Ciudad.,"MiMedellin (My Medellin) is a citizen co-creation platform, where everybody's ideas and inspiration are part of transforming our city.",http://www.mimedellin.org/,Medellín,Colômbia,Local,Medellín Ciudad Inteligente,Digital,Incidência,,Participação Cidadã,,", Repositório, Resident Feedback, Co-Criação",,,"Hubs, Financiadores",,,,,,,,,,,,,,"Co-criação, Mandado Interativo"
248,Microbolsas,Reportagens diversas de repórteres em todo o país que recebem mircro bolsas para realizarem jornalismo investigativo.,Reportagens diversas de repórteres em todo o país que recebem mircro bolsas para realizarem jornalismo investigativo.,Reportajes diversos de periodistas en todo el país que reciben micro-becas para que realicen periodismo investigativo.,Reporting news from several reporters around the country who receive micro-grants to carry on with investigative journalism.,http://apublica.org/assunto/microbolsas/,São Paulo,Brasil,Nacional,Agência Pública,Social,Empoderamento,,Comunicação Independente,,", artigos, Investigação, Cobertura Colaborativa",TRUE,,,,,,,,,,"Pesquisa, Estudo",,Aceleração e Incubação,,Reportagem,,
249,Mídia Ninja,NINJA ­Independent Narratives Journalism and Action­ is a decentralized communication network that produces and disseminate content based on collaborative work and online sharing.,NINJA - Jornalismo de Narrativas e Ações Independentes - é uma rede de comunicação descentralizada que produz e dissemina conteúdo baseado em trabalho colaborativo e compartilhamento on-line.,NINJA - Jornalismo de Narrativas e Ações Independentes (Periodismo de Narrativas y Acciones Independientes) - es una red de comunicación descentralizada que produce y disemina contenido basado en trabajo colaborativo y aportación online.,NINJA ­Independent Narratives Journalism and Action­ is a decentralized communication network that produces and disseminate content based on collaborative work and online sharing.,https://www.facebook.com/midiaNINJA,,Brasil,Nacional,,Social,Empoderamento,,Comunicação Independente,,", Ativismo digital, Denúncia, Monitoramento, Cobertura Colaborativa, Mídia de Guerrilha, Infoativismo",TRUE,,,,,,,,,,,,,,"Cobertura Colaborativa, Transmissão",,
250,Migración y Transparencia,La plataforma “Migración y Transparencia” contiene información desclasificada del gobierno mexicano sobre migración y políticas migratorias. El objetivo de esta plataforma es maximizar la transparencia en la política migratoria de México.,"A plataforma Migración y Transparencia (Migração e Transparência) contém informação pública do governo mexicano sobre migração e políticas de migração. O objetivo desta plataforma é o de maximizar a transparência na política de migração do México.
",La plataforma “Migración y Transparencia” contiene información desclasificada del gobierno mexicano sobre migración y políticas migratorias. El objetivo de esta plataforma es maximizar la transparencia en la política migratoria de México.,Migración y Transparencia (Migration and Transparency) contains Mexican governament public information about migration and migration policies. The objective is to maximize transparency in Mexico's migration policies.,http://migracionytransparencia.org/,,México,Nacional,Fundar - Centro de Análisis e Investigación,Digital,Empoderamento,,Transparência e Accountability,Controle Social,", Index/Indicadores, Análise de dados, Repositório, Monitoramento",,,Hubs,,,,,,,,,Banco de dados,,Monitoramento Descentralizado,,,
252,Mobilize,Mobilize Brasil é o primeiro portal brasileiro de conteúdo exclusivo sobre Mobilidade Urbana Sustentável.,Mobilize Brasil é o primeiro portal brasileiro de conteúdo exclusivo sobre Mobilidade Urbana Sustentável.,Mobilize Brasil es el primer portal brasileño de contenido exclusivamente sobre Movilidad Urbana sostenible.,Mobilize Brasil is the first Brazilian website with content exclusively about Sustainable Urban Mobility.,http://www.mobilize.org.br/,,Brasil,Nacional,Associação Abaporu,Digital,Empoderamento,,Comunicação Independente,,", Campanha, Pedagogia política, Manual, Index/Indicadores, Estudos, Análise de dados, Artigos, Monitoramento",,,,,,,,,,,Sistematização de conhecimento,,,,Portal de Notícias/Blog,,
253,Monitor Legislativo,"Plataforma Digital donde puedes informarte de quienes són los candidatos a Diputados de la próxima Asamblea Nacional, sus perfiles, propuestas y contactos.","Plataforma digital onde você pode obter informações sobre quem são os candidatos a deputados da próxima Assembleia Nacional, seus perfis, propostas e contatos.","Plataforma Digital donde puedes informarte de quienes són los candidatos a Diputados de la próxima Asamblea Nacional, sus perfiles, propuestas y contactos.","Digital platform where you can obtain information about who are the candidates to deputy in the next National Assembly, their profiles, proposals and contacts.",http://eligetucandidato.org/,,Venezuela,Nacional,Paz Activa; Monitoreo Ciudadano; Transparencia Venezuela; Liderazgo y Visión; Espacio Público; Asociación Civil Control ciudadano; Un estado de derecho,Digital,Incidência,,Transparência e Accountability,,", Georrefenciamento, Monitoramento",,,"Hubs, Financiadores",,,,,,,,,Banco de dados,,,,,
254,Mootiro Maps,"MootiroMaps helps to make an online map of your community that shows where resources, demands and organizations are located. ","MootiroMaps ajuda a desenvolver um mapa virtual da sua comunidade que mostra onde recursos, demandas e organizações estão localizados.","MootiroMaps ayuda a desarrollar un mapa virtual de la comunidad mostrando dónde los recursos, demandas y organizaciones están localizados","MootiroMaps helps to make an online map of your community that shows where resources, demands and organizations are located. ",http://maps.mootiro.org,,,Local,IT3S,Digital,Empoderamento,,Transparência e Accountability,,", Repositório, Georrefenciamento",TRUE,Mais de 400 aplicações do mapa! Todas podem ser consideradas sinais dos respectivos executores.Também tem o hub IT3S que parece ser interessante mapear.,"Sinais, Hubs",,,,,,,,,Georeferenciamento,,,,,
255,Mosaico Orçamentário,"O princípio da ferramenta Mosaico Orçamentário é deixar mais clara a proporção dos gastos do governo, representada pela área dos retângulos, funcionando como uma medida pragmática de avaliação de prioridades.","O princípio da ferramenta Mosaico Orçamentário é deixar mais clara a proporção dos gastos do governo, representada pela área dos retângulos, funcionando como uma medida pragmática de avaliação de prioridades.","La herramienta Mosaico Orçamentário (Mosaico del Presupuesto) tiene como principio dejar más clara la proporción de gastos del gobierno, representada por el área de los rectángulos, funcionando como una medida pragmática de evaluación de las prioridades.","Mosaico Orçamentário (Budgetary Mosaic) is a tool of which principle is to make clearer the proportion of government's expenses, represented by the retangles' areas, woking as pragmatic measure of priority evaluation.",http://dapp.fgv.br/mosaico/mosaic_f/2014,São Paulo,Brasil,Nacional,FGV - DAPP,Digital,Empoderamento,,Transparência e Accountability,,", Index/Indicadores, Análise de dados, Infográfico",,"O FGV - DAPP, hub que criou esse sinal, é um importante ator.",Sinais,,,,,,,,,Infográfico,,,,,
256,Movimento Nossa Betim,"O Movimento Nossa Betim é uma iniciativa que articula e mobiliza uma ampla aliança entre cidadãos, empresas, entidades empresariais, organizações e entidades da sociedade civil e instituições de ensino e pesquisa, para construir e comprometer a sociedade e os governos com a transparência, o controle social e um conjunto de metas para o desenvolvimento justo, sustentável e ecologicamente responsável da cidade, visando a melhoria contínua da qualidade de vida dos moradores de todas as suas regiões.","O Movimento Nossa Betim é uma iniciativa que articula e mobiliza uma ampla aliança entre cidadãos, empresas, entidades empresariais, organizações e entidades da sociedade civil e instituições de ensino e pesquisa, para construir e comprometer a sociedade e os governos com a transparência, o controle social e um conjunto de metas para o desenvolvimento justo, sustentável e ecologicamente responsável da cidade, visando a melhoria contínua da qualidade de vida dos moradores de todas as suas regiões.","El Movimiento Nossa Betim es una iniciativa que articula y moviliza una amplia alianza entre ciudadanos, empresas, entidades empresariales, organizaciones y entidades de la sociedad civil e instituciones de enseñanza e investigación, para construir y comprometer a la sociedad y a los gobiernos con la transparencia, el control social y un conjunto de metas para el desarrollo justo, sostenible y ecológicamente responsable de la ciudad, buscando mejorar continuamente la calidad de vida de los habitantes de todas las regiones.","Movimento Nossa Betim (Our Betim Movement) is an initiative that articulates and mobilizes a large alliance connecting citizens, companies, business entities, organizations and civil society entities, schools and research institutions, so that society and governments can build and commit with transparency, social control and a set of goals for fair, sustainable and environmentally responsible city development, seeking continuous improvement of life quality.",http://nossabetim.org.br,Betim,Brasil,Local,,Social,Incidência,Executivo,Controle Social,Transparência e Accountability,", Campanha, Plano de metas, Monitoramento",,,,,,,,,,,,,,"Indicadores, Auditoria",,Advocacy,
257,Movimento Nossa Brasília,"Brasília e o DF têm um grande potencial para serem uma cidade sustentável e com qualidade de vida acessível para seus moradores. Por isso convidamos você a ajudar a criar esse movimento com o objetivo de incluir o DF na Plataforma Cidades Sustentáveis e trabalharmos ativamente, de forma participativa, com a ajuda de todos os que queiram diminuir atrasos e somar melhorias a nossa cidade.","Brasília e o DF têm um grande potencial para serem uma cidade sustentável e com qualidade de vida acessível para seus moradores. Por isso convidamos você a ajudar a criar esse movimento com o objetivo de incluir o DF na Plataforma Cidades Sustentáveis e trabalharmos ativamente, de forma participativa, com a ajuda de todos os que queiram diminuir atrasos e somar melhorias a nossa cidade.","Brasilia y el Distrito Federal (DF) tienen un gran potencial para que sean una ciudad sostenible y para que permitan a sus habitantes acceso a calidad de vida. Por eso, te invitamos a que nos ayudes a crear este movimiento con el objetivo de incluir el DF en la plataforma Cidades Sustentáveis (Ciudades Sostenibles) y a que trabajemos activamente, de forma participativa, con la ayuda de todos los que quieran disminuir atrasos y agregar mejorías a nuestra ciudad.","Brasília and Federal District (DF) have a great potential to become sustainable city with life quality accessible to all its residents. That is why we invite you to help create this movement which purposes to include DF in the Platform Sustainable Cities and work actively, with participation of many and with the help of all who want to reduce delays and increase improvements to our city.",https://nossabrasilia.wordpress.com/,Brasília,Brasil,Local,,Social,Incidência,Executivo,Participação Cidadã,,"Debate, Campanha, Monitoramento",,,,,,,,,,,Sistematização de conhecimento,,,,,Advocacy,
259,Movimento Nossa São Luís,"O Movimento Nossa São Luís é um programa do Instituto de Cidadania Empresarial do Maranhão (ICE-MA) que busca reunir cidadãos, empresas, entidades de classe, instituições de ensino e pesquisa, sindicatos, jovens e outros personagens, para atuarem em conjunto e estimular a sociedade civil a exercer a democracia participativa e controle social, bem como monitorar o poder público a fim de contribuir no desenvolvimento inclusivo e sustentável para São Luís.","O Movimento Nossa São Luís é um programa do Instituto de Cidadania Empresarial do Maranhão (ICE-MA) que busca reunir cidadãos, empresas, entidades de classe, instituições de ensino e pesquisa, sindicatos, jovens e outros personagens, para atuarem em conjunto e estimular a sociedade civil a exercer a democracia participativa e controle social, bem como monitorar o poder público a fim de contribuir no desenvolvimento inclusivo e sustentável para São Luís.","El Movimento Nossa São Luís (Movimiento Nuestra San Luis) es un programa del Instituto de Cidadania Empresarial do Maranhão (Instituto de la Ciudadanía Empresarial de Maranhão) (ICE-MA) que busca reunir ciudadanos, empresas, entidades de clase, instituciones de enseñanza e investigación, sindicatos, jóvenes y otros personajes, para que actúen en conjunto y estimulen la sociedad civil a ejercer la democracia participativa y el control social, así como monitorear el poder público para que se pueda contribuir con el desarrollo sostenible y de inclusión en Sao Luis.","Movimento Nossa São Luís (Our São Luís Movement) program of Instituto de Cidadania Empresarial do Maranhão (Maranhão Citizen Business Institute) (ICE-MA) seekes to unite citizens, businesses, class associations, educational and research institutions, unions, young people and other actors to act together and stimulate civil society to exercise participative democracy and social control, as well as monitor public administration aiming to contribute for more inclusive and sustainable development for São Luís city.",http://www.nossasaoluis.org.br/site/,São Luís,Brasil,Local,,Social,Incidência,Executivo,Controle Social,,"Mediação / Facilitação, Campanha, Pesquisa, Monitoramento",,,,,,,,,,,,,,Indicadores,,,
260,Movimiento Pro Justicia,"Desde 1999, el MPJ ha participado activamente en la fiscalización de los procesos de elección de magistrados a la Corte Suprema de Justicia, la Corte de Apelaciones y la Corte de Constitucionalidad, así como en la designación del Fiscal General de la República y el director del Instituto de la Defensa Pública Penal. ","Desde 1999, o Movimiento Pro Justicia (Movimento pela Justiça) (MPJ) tem participado ativamente na auditoria dos processos de eleição de juízes para o Supremo Tribunal, do Tribunal de Recurso e do Tribunal Constitucional, bem como na nomeação do Procurador-Geral e do Diretor do Instituto da Defesa Pública Penal. ","Desde 1999, el MPJ ha participado activamente en la fiscalización de los procesos de elección de magistrados a la Corte Suprema de Justicia, la Corte de Apelaciones y la Corte de Constitucionalidad, así como en la designación del Fiscal General de la República y el director del Instituto de la Defensa Pública Penal. ","Since 1999, Movimiento Pro Justicia (Movement for Justice) has actively participated in auditing Supreme Court, Appeal Court and Contitutional Court judges election proccess, as well as in the appointment of Attorney General and Director of Public Criminal Defense Institute.",http://www.movimientoprojusticia.org.gt,,Guatemala,Nacional,Familiares y Amigos contra la Delincuencia y el Secuestro (FADS); Madres Angustiadas (MA); Fundación Myrna Mack (FMM).,Social,Incidência,Judiciário,Controle Social,,", Campanha, Advocacy, Estudos, Denúncia, Investigação, Monitoramento",,,,,,,,,,,,,,Auditoria,,Advocacy,
261,Mucho con Poco - Inovação Política desde as margens: uso da tecnologia digital em contextos de violência,"Encontros para gerar espaços nos quais os ativistas que utilizam as tecnologias digitais para terem voz se reúnam, troquem experiências e criem redes de trabalho para o fortalecimento de suas atuações.","Encontros para gerar espaços nos quais os ativistas que utilizam as tecnologias digitais para terem voz se reúnam, troquem experiências e criem redes de trabalho para o fortalecimento de suas atuações.","Encuentros para generar espacios en donde los activistas que se utilizan de tecnologías digitales para hacer escuchar sus voces se puedan reunir, puedan intercambiar experiencias y puedan crear redes de trabajo para el fortalecimiento de sus actuaciones.","Meetings to create spaces in which activists who use digital technologies to have a voice can get together, share experiences and create networks to fortify their activities.",http://www.muchoconpoco.org/,,Argentina,Regional,Asuntos del Sur,Social,Empoderamento,,Cultura Política,,"Roda de conversa, Oficina",,,,,,,,"Eventos (Seminário, Fórum, Colóquio, Conferência, Debate, Roda de Conversa e encontros )",,,,,,,,,Co-criação
262,MULHERES NA POLÍTICA - FORMAÇÃO CRÍTICA E CONJUNTURA,"Edital de Formação LabExperimental- Laboratório de Criatividade com o tema MULHERES NA POLÍTICA - FORMAÇÃO CRÍTICA E CONJUNTURA.O processo tem como principal objetivo experimentar um curso livre de formação de oficineiros através de encontros digitais, presenciais e através da experiência empírica.","Edital de Formação LabExperimental- Laboratório de Criatividade com o tema MULHERES NA POLÍTICA - FORMAÇÃO CRÍTICA E CONJUNTURA.O processo tem como principal objetivo experimentar um curso livre de formação de oficineiros através de encontros digitais, presenciais e através da experiência empírica.","Edital de Formação LabExperimental - Laboratório de Criatividade (Convocatoria a la Formación LabExperimental - Laboratorio de Creatividad) con el tema MUJERES EN LA POLÍTICA - FORMACIÓN CRÍTICA Y DE COYUNTURA. El proceso tiene como principal objetivo experimentar un curso libre de formación de instructores a través de encuentros digitales, presenciales y a través de la experiencia empírica","Formation Edict of LabExperimental - Laboratório de Criatividade with the theme WOMEN IN POLITICS - CRITICAL FORMATION AND CONJUNCTURE. The process has as main goal to experiment a free course of workshop instructors formation through digital meetings, presencial meetings and empirical experience.",https://docs.google.com/forms/d/1ur6dDrKN6cpdCpvcVj2gaJe6nyyHUvnvX_q0flANh58/viewform,,Brasil,Nacional,LabExperimental  - http://labexperimental.org/,Social,Empoderamento,,Cultura Política,,", Ação cívica, Oficina, Pedagogia política, Edital",,,,,,,,,,"Oficina, Curso",,,,,,,
263,Multitude,"O Multitude é o aplicativo da Rede Nossas Cidades que oferece oportunidades de ação voluntária a você, cidadão interessado em trabalhar por mobilizações que melhoram a cidade.","O Multitude é o aplicativo da Rede Nossas Cidades que oferece oportunidades de ação voluntária a você, cidadão interessado em trabalhar por mobilizações que melhoram a cidade.","El Multitude (Multitud) es uma aplicación de la Rede Nossas Cidades (Red Nuestras Ciudades) que te ofrece oportunidades de acción voluntaria a ti, ciudadano interesado en trabajar por movilizaciones que mejoren la ciudad.","Multitude is the app of Rede Nossas Cidades (Our Citties Network) that offers voluntary action opportunities to you, citizen interested in working on mobilizations that improve the city.",http://multitude.nossascidades.org/,,Brasil,Local,Rede Nossas Cidades,Digital,Empoderamento,,Participação Cidadã,Cultura Política,", Ação cívica, Ativismo digital, Match de perfis",,,,,,,,,,,,,,,,Campanha de Mobilização,
264,Não Move,Você já cansou de reclamar no site da BHTrans e nada melhorar? Vamos tornar públicos os problemas e estatísticas do transporte público de Belo Horizonte. Cadastre o seu problema e ajude a evidenciar a porcaria de transporte público que nós temos.,Você já cansou de reclamar no site da BHTrans e nada melhorar? Vamos tornar públicos os problemas e estatísticas do transporte público de Belo Horizonte. Cadastre o seu problema e ajude a evidenciar a porcaria de transporte público que nós temos.,¿Ya te cansaste de reclamar en el sitio de la BHTrans y nada ha mejorado? Vamos a tornar públicos los problemas y estadísticas del transporte público de Belo Horizonte. Registra tu problema y ayuda a poner em evidencia la porquería de transporte público que tenemos.,Are you tired of complaining in BHTrans (Belo Horizonte city public transports department) site and see no improvement? Let's make Belo Horizonte public transport problems and statistics public. Enter your problem and help to evidenciate the junk public transport we have.,http://www.naomove.com.br/,Belo Horizonte,Brasil,Local,,Digital,Incidência,,Controle Social,,", Análise de dados, Denúncia, Resident Feedback",false,,,,,,,,,,,,,"Indicadores, Monitoramento Descentralizado",,,
